age_kyr_bp,co2_ppm
740.461,183.4
741.33,184.8
741.874,189.1
742.645,188.7
743.062,187.3
743.959,188.2
744.523,189.0
745.671,187.3
746.62,190.2
747.177,187.9
747.94,187.9
748.337,187.5
749.263,188.7
749.814,190.2
750.706,192.1
751.036,191.3
751.974,193.6
752.566,197.5
753.489,195.4
753.935,203.9
755.115,199.1
755.587,203.3
756.566,208.1
756.851,209.4
757.785,213.6
758.362,218.3
759.136,222.7
759.562,226.9
759.878,223.0
760.108,225.4
760.516,225.6
760.94,222.7
761.864,216.6
762.166,214.7
763.102,214.0
763.771,219.9
764.677,223.9
765.182,222.9
765.587,233.7
765.851,229.4
766.188,232.1
766.809,230.6
767.747,224.9
768.117,223.8
769.061,221.6
769.651,225.9
770.599,230.6
771.021,229.6
771.519,236.3
771.813,234.2
772.175,239.7
772.475,243.9
772.738,246.5
772.996,243.8
773.25,246.0
773.684,237.8
774.044,239.2
774.959,238.4
775.538,241.7
776.332,245.3
776.783,248.9
777.682,247.3
778.233,252.5
779.058,254.9
779.368,254.7
780.189,254.4
780.719,252.5
781.563,257.2
781.887,251.5
782.728,257.4
783.199,255.0
784.262,260.9
785.034,255.8
785.519,259.7
786.19,262.2
786.563,264.4
787.356,269.4
787.804,266.0
788.479,257.2
788.692,257.0
789.494,238.6
789.953,235.5
790.639,227.4
791.057,230.6
792.031,224.7
792.617,214.4
793.519,213.4
793.853,218.4
795.122,208.8
795.687,204.6
796.853,198.8
797.379,197.9
798.681,200.5
801.236,198.7
802.872,198.7
803.709,202.7
803.925,202.9
804.01,207.5
804.523,204.9
805.132,202.2
805.669,207.3
